window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,47880,51976,4096,1,0.5842975515413503,-0.0029412854115722304,0.0993717445213036,0.7191341298945125,0.9379640861157699,18382.02546625137
1,47160,51256,4096,1,0.4899976207489195,7.058578564541868e-05,0.2068644126888275,0.7457290686400279,0.9438553585945159,18782.79811565138
2,46440,50536,4096,1,0.6197838408054629,0.00463106407294074,0.2416001154483729,0.7165218079757603,0.9484905758163316,18865.923607607787
3,45720,49816,4096,1,0.6855364497122698,0.006887252251194432,0.2696354642951573,0.7211114843401557,0.9503748415877942,18825.52910787711
4,45000,49096,4096,1,0.7352648503050945,-0.0013804953624799061,0.2563406305634284,0.758465873698479,0.8837416934376692,20683.808641484433
5,44280,48376,4096,1,0.7453956074809924,-0.002439221136550545,0.40356827612799717,0.8351796149959105,0.9037792047508316,20589.12955299033
6,43560,47656,4096,1,0.8091699455492072,0.00048825867969084824,0.4581843720622861,0.8347542722042741,0.8970480601899596,20340.24513383013
7,42840,46936,4096,1,0.7676234595228077,0.003664192745496274,0.3522474338563403,0.8069960019641176,0.9191678497850492,20382.895393932922
8,42120,46216,4096,1,0.7668587504429503,0.0068955090702089135,0.4204019429794953,0.7928342610697187,0.892760194079104,20494.04411537158
9,41400,45496,4096,1,0.820521428990139,0.010014732759222628,0.47710313923738046,0.7570812502747583,0.9097221718892538,20752.812741720165
10,40680,44776,4096,1,0.403869566495228,0.002387181887042702,0.4430440477037657,0.7822096275200229,0.9356325707452832,18314.598867196175
11,39960,44056,4096,1,0.24415923239466852,0.0018021856439806138,0.3774564352970845,0.740278161224368,0.9209059046280924,18233.028903181585
12,39240,43336,4096,1,0.43029229105967404,-0.001097870433054138,0.5765263662698155,0.8174113367483158,0.9348625498455297,18886.83272219926
13,38520,42616,4096,1,0.5172984948220174,-0.0007544939034597396,0.6867858076223518,0.8750385245717671,0.9378889649717208,18683.548596330606
14,37800,41896,4096,1,0.4810118167796953,-0.0029101207747787637,0.7275505724350964,0.8639940581470577,0.9036782568922124,19200.883857834946
15,37080,41176,4096,1,0.4221395511628354,-0.0035833447725086764,0.7066304748590727,0.9162778310935766,0.936305323907235,20104.232924201482
16,36360,40456,4096,1,0.3802827240936941,-0.002120693730762636,0.7002539344142824,0.9106902020195798,0.8966768907078446,20445.80320994906
17,35640,39736,4096,1,0.29790818972017485,-0.0010681274576299343,0.7321564622889825,0.9467329746391381,0.9127461740511252,20863.639875917157
18,34920,39016,4096,1,0.2761410875316962,0.0006375338459869414,0.697925053623597,0.8893397623328311,0.9185590041568561,20590.894672339702
19,34200,38296,4096,1,0.3418915777122633,0.006628151392150221,0.6807775666683884,0.8787307682266152,0.9184478422499157,20711.00726352288
