window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,18414,22414,4000,1,0.5195028676336494,6.677565373644693e-07,0.10332609621154099,0.0781546835111224,0.26194258119326524,2052.0578542351377
1,17694,21694,4000,1,0.5816765680508189,-2.4799440632247084e-05,0.05027662410600964,0.08050869718626161,0.14719164896737644,2235.9321269278707
2,16974,20974,4000,1,0.4328524243348921,-7.931663127124546e-06,0.05618782426581248,0.08951201592272633,0.1666666131484347,3055.489330167106
3,16254,20254,4000,1,0.4344288958887611,-2.0148015944470604e-06,0.12858198955515,0.10567466564989639,0.12297205415529382,3160.506605140951
4,15534,19534,4000,1,0.36730971049897543,1.671937623389601e-05,0.10076853677321274,0.11975253279759912,0.17159583946468704,3429.73096950303
5,14814,18814,4000,1,0.4144649780419192,2.4609827604913702e-05,0.23216220070002758,0.1399912376439801,0.12122999186530302,3872.1009695387042
6,14094,18094,4000,1,0.2711447754516163,1.903559465451826e-05,0.1578405574190146,0.12970338755887603,0.1719021616127295,3804.4966618387607
7,13374,17374,4000,1,0.2023003931992935,1.5643805060561095e-05,0.1604763680398793,0.12672325273753685,0.1626753465150984,3434.411401031195
8,12654,16654,4000,1,0.19796062561338001,1.0615656191885267e-05,0.12953273615005312,0.11660204670903254,0.18607340602039965,3261.748666701602
9,11934,15934,4000,1,0.21219488957002675,-6.287393518238649e-06,0.12497843029795186,0.12225928139749445,0.10315404063544109,3397.335666592896
10,11214,15214,4000,1,0.44418254048147876,-2.6697427412965133e-05,0.11599892686459967,0.13295499928004645,0.09315409950423575,3170.1191850844466
11,10494,14494,4000,1,0.4354990444404947,-2.5118662612072435e-05,0.15273498472287528,0.12344087573777474,0.07144773550146376,3179.5834558174765
12,9774,13774,4000,1,0.3983462225324479,-2.2082752690723266e-05,0.18039282351307528,0.11982052958982153,0.06096793792780584,3640.0715147082465
13,9054,13054,4000,1,0.3529037311958958,-4.7431418476913895e-07,0.21288185883006894,0.11301023594959253,0.08801027218043472,4225.220290833766
14,8334,12334,4000,1,0.4203267486679232,1.41870706860359e-05,0.2088211159706651,0.09971917904466299,0.08537435564172115,3921.1158788380403
15,7614,11614,4000,1,0.40107734615265567,9.795111341627406e-06,0.1770493002128648,0.0832940996353399,0.0894018884479808,3894.0082231187534
16,6894,10894,4000,1,0.35755338560162475,2.4881437004794216e-06,0.14891265526618247,0.09847356196227533,0.08471138699235067,3855.653972850098
17,6174,10174,4000,1,0.35724151669439963,-2.5041693555582256e-06,0.14497520370268513,0.11511901921865224,0.08979542649468779,3855.3920766774336
18,5454,9454,4000,1,0.364074110416844,-1.3311738358688145e-05,0.13297671267877476,0.12199671540566542,0.07282328200197473,3547.9555610077514
19,4734,8734,4000,1,0.25191714348920613,-4.8246413959166005e-06,0.18014860603340865,0.12076295654701512,0.10268754184193192,2675.3377391306276
