window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,15824,19824,4000,1,0.058853416710397566,0.003174835396916441,0.8049385760600932,0.9427787699956284,0.7030744691654588,30465.227389800057
1,15104,19104,4000,1,0.08967381615347725,-0.005984428148879534,0.7527762719809115,0.9347623275583558,0.7623132971639999,30349.64548620452
2,14384,18384,4000,1,0.12689902960836652,-0.006959674961140349,0.7482138326276879,0.9419863011264809,0.7964101367652058,29882.98429207236
3,13664,17664,4000,1,0.1493533337059767,-0.006950032613679495,0.788834409378262,0.9663381059717921,0.8144025876705463,29793.393279628588
4,12944,16944,4000,1,0.1382721752854661,-0.0005801311853490342,0.810555586780455,0.9645958938801277,0.8150225511710492,29694.2751767658
5,12224,16224,4000,1,0.15300236769444842,0.0037783341394588108,0.8319435870484645,0.964163410931407,0.7938335442856458,29787.082155846692
6,11504,15504,4000,1,0.25329821955698195,0.021487705972417837,0.7823855596654228,0.9403520597380198,0.8460370832532642,29501.24713228779
7,10784,14784,4000,1,0.24213740232293246,0.006724629999445623,0.8080919893739549,0.9688061041529314,0.8483372786208504,29315.820670563084
8,10064,14064,4000,1,0.2879450157149581,0.003594685979542191,0.8158810060644188,0.9699752909466941,0.8512147355806952,29165.613733110153
9,9344,13344,4000,1,0.3265534128223323,0.0021867465699290773,0.805854198267857,0.9650380348303153,0.8679588015777547,29013.348465450363
10,8624,12624,4000,1,0.3077546002621977,-0.0008194003452714506,0.7810726482889973,0.9522607493603479,0.8837862125348402,28806.834249348874
11,7904,11904,4000,1,0.38540666190639417,-0.004608282037595653,0.8062441709455253,0.9616956650552922,0.8749688195725976,28625.300017148416
12,7184,11184,4000,1,0.3151684229531856,0.0025316598693008257,0.8462676766675324,0.9656655101242253,0.8386268071754028,28453.92997513523
13,6464,10464,4000,1,0.34950225415188985,-0.003408381628136187,0.8448234409496735,0.9453549961164891,0.8349748466629615,28382.741867531182
14,5744,9744,4000,1,0.24450620252751587,0.002795957100706081,0.8725550241532445,0.947153854460295,0.8142987755110637,28429.541529017613
15,5024,9024,4000,1,0.2532122112821308,-0.007330748204005406,0.8375464252307669,0.9639751048307563,0.8560677365660606,28171.526866311193
16,4304,8304,4000,1,0.2801253681950119,-0.011896424013211854,0.851466540272587,0.9750083789682615,0.84061400222766,28054.870846819686
17,3584,7584,4000,1,0.28320819207847947,-0.005794889496800359,0.87693524222091,0.9785698646405183,0.8481372403426055,27536.208508443517
