window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,30416,34416,4000,1,0.05230401613106528,0.0027141340907655366,0.8084355866502856,0.9394565165781633,0.8440951894816792,26836.84302325164
1,29696,33696,4000,1,0.07067411148568781,-0.004303209187689964,0.7711194992496639,0.927435964484963,0.858431249847089,26962.18775673241
2,28976,32976,4000,1,0.08131824395952436,-0.001393915278293095,0.7980003360335692,0.9490840478485177,0.8432158066923089,26912.43326225779
3,28256,32256,4000,1,0.1036311889198347,-0.007471047364067114,0.834185204284922,0.9436165426361834,0.8083226018311954,26915.92943514882
4,27536,31536,4000,1,0.12217088411609744,-0.011789350216532936,0.8373919671202431,0.9407094096980179,0.8256362319497944,26747.75213202586
5,26816,30816,4000,1,0.0693274755306863,-0.003062452903680167,0.8395166273230729,0.9465265897438774,0.8054520500031735,26778.653648410247
6,26096,30096,4000,1,0.0637494436059155,-0.00182964785659212,0.8270623234732433,0.9571592751796522,0.8164326462528385,26981.363745013616
7,25376,29376,4000,1,0.04785343864494107,-0.00048213399719113483,0.8213554231137369,0.9550012391994928,0.835883470056596,27132.732092398568
8,24656,28656,4000,1,0.12494143006507985,-0.006228248173295347,0.8155576770726213,0.952299337351078,0.8414432844932593,27043.14533694282
9,23936,27936,4000,1,0.11580179867218332,-0.007153336288320078,0.7993757415528266,0.9560646095243758,0.853204618222266,27134.86639788528
10,23216,27216,4000,1,0.11949474421388084,-0.011560094143519179,0.7771954136649295,0.9485351376759166,0.8322746552963971,27153.828889811914
11,22496,26496,4000,1,0.07996919754272602,-0.0010317272530181595,0.7533317574333747,0.9489783367157397,0.8761263979501834,27248.707307942404
12,21776,25776,4000,1,0.06901674509334432,-0.0029620921158766277,0.7242838828644194,0.9548207207766203,0.8821828742532832,27314.063933964677
13,21056,25056,4000,1,0.052035148355971006,-0.0018180179595132613,0.725707796251136,0.9559275179751968,0.8844460181099619,27381.602022741423
14,20336,24336,4000,1,0.059409624651181825,-0.0021488227493264684,0.7238576977487732,0.9405900560289117,0.8731448299151018,27408.4619809844
15,19616,23616,4000,1,0.064425442909824,-0.007571726801805921,0.738674644124687,0.9373478331280164,0.8807181092606478,27585.8954138192
16,18896,22896,4000,1,0.07545383083321133,-0.004960030399442283,0.7846354169747296,0.9453143763203227,0.8525845504526144,27409.49921316265
17,18176,22176,4000,1,0.06187467043867867,-0.0020961186351594815,0.819266777271264,0.9575490738801015,0.8753279088199695,27442.26996613561
18,17456,21456,4000,1,0.08707571565367533,-0.0005032561251117954,0.8270684659986884,0.9689160648400786,0.8779835952426597,27186.78068695777
19,16736,20736,4000,1,0.07079537237860212,0.0022031282570194664,0.801624980980433,0.95685839111224,0.8633306469665728,27203.602138757786
