window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,13233,17233,4000,1,0.9120623853086808,0.0002895864031936773,0.021405933987275083,0.10105060012059935,0.9907951012551615,157.92253106811336
1,12513,16513,4000,1,0.9432658641464087,0.00046603369484626687,0.020308697590497138,0.049205919037692385,0.9869162375811023,1243.8081480137553
2,11793,15793,4000,1,0.9517897951657767,0.00042976989493876907,0.03770267877779221,0.047170920700143774,0.9857443981824934,1863.0193506083913
3,11073,15073,4000,1,0.9254876155320706,0.00030070306274984345,0.032898151372178996,0.11857375822067742,0.9894064861078651,1924.0230653177591
4,10353,14353,4000,1,0.8367321959126599,0.00013585286848880745,0.07525401157834799,0.15180064632189796,0.9835599969775591,-1333.962852022247
5,9633,13633,4000,1,0.8995680261134009,0.0001244483706257414,0.08692581844325997,0.18151068804217801,0.9782928812720384,-1806.0477852422669
6,8913,12913,4000,1,0.8769216049029146,0.00010486540552008783,0.06536925585366171,0.24300902253705492,0.9716795434170649,-2854.2239998939485
7,8193,12193,4000,1,0.8882892340395675,0.00010227848200873376,0.122712043874599,0.18022587718935443,0.9782505395893396,-2546.717922300597
8,7473,11473,4000,1,0.9310265090965438,7.05507275103746e-05,0.13737432237235958,0.19231305513460192,0.9466302575129559,-3620.514589181589
9,6753,10753,4000,1,0.8532355305584693,2.822483603012174e-05,0.08933054235009974,0.2032804179502417,0.9681430716576025,-4867.306859542485
10,6033,10033,4000,1,0.8232303404659924,-1.9794932923184143e-05,0.05317182643015417,0.18251796992696098,0.9707851049356186,-4916.050177006631
11,5313,9313,4000,1,0.8529737589105464,-7.147028976177682e-05,0.002245802277401121,0.17565035364021983,0.9737604740515053,-4084.8273853757714
12,4593,8593,4000,1,0.8223027745371082,-8.704665824488139e-05,0.02892411526304184,0.06863283126646262,0.9859837506582118,-3291.195016414605
13,3873,7873,4000,1,0.7706630318567422,-6.22628327923059e-05,0.0047748683904383915,0.05945102541307413,0.9857149787192521,-3566.2623444607875
14,3153,7153,4000,1,0.702043289690891,2.9190500723816793e-06,0.0,0.04038659724516186,0.9854612026017325,-2788.862042447029
