window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,12039,16039,4000,1,0.5628290532641339,0.002844610036423269,0.5191044399400289,0.7532197124858162,0.9078841855791611,19660.170710379345
1,11319,15319,4000,1,0.6459422615249443,0.00392670570283764,0.5494806644149549,0.7194543526847079,0.8569134098830999,19997.105159023205
2,10599,14599,4000,1,0.6870909112175799,0.0029616815249598684,0.5799705801706765,0.7132053241982956,0.8317662754190965,20072.46707685007
3,9879,13879,4000,1,0.6307501415070984,-0.0011271470981670984,0.5484959176009485,0.7361731117017649,0.8354686620865452,20152.72326846999
4,9159,13159,4000,1,0.5888542424455793,-0.0035024707870978423,0.5072074412558627,0.7481894382237018,0.8481173636487195,20153.084698669878
5,8439,12439,4000,1,0.5868966930342893,-0.0026285279619628283,0.5491295321882184,0.7881918441496367,0.8211668852969783,19856.78424050082
6,7719,11719,4000,1,0.4430616172523586,-0.0002407343554861672,0.5374148034992419,0.7507154298529446,0.876490009500149,19337.154373639034
7,6999,10999,4000,1,0.44531638642422067,0.0002457933064456589,0.5145924575641733,0.7305524454433628,0.8667251319408023,19445.470115075237
8,6279,10279,4000,1,0.3798503730602112,-0.00018313456866206438,0.4600625077356938,0.7549487404390265,0.9093907767647184,19479.13694661878
9,5559,9559,4000,1,0.41987365306074786,-0.00022821338386120167,0.45175683339953143,0.7113980670919263,0.8774570811439741,19432.441700851123
10,4839,8839,4000,1,0.4469146338810688,0.0013570172752258183,0.41443372046495563,0.6639564953640781,0.8646488507486242,19647.654388730327
11,4119,8119,4000,1,0.4848615344877468,0.0008947795891365702,0.4288273816477487,0.6744559160817868,0.8571529501235094,19882.565777633594
12,3399,7399,4000,1,0.48294991454842295,-0.0003178746848884048,0.42651951264995147,0.6923513937984044,0.8591704472134211,19940.397221505526
13,2679,6679,4000,1,0.5547225763047678,-0.0007313622427532374,0.5196267568226822,0.7511301862363163,0.8319196738738335,19720.667789991574
