window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,22256,26256,4000,1,0.7563169439630473,-0.22790992585066513,0.7514459251600711,0.8258922627722791,0.7365408457580144,34609.01785339396
1,22208,26208,4000,1,0.7599507285568601,-0.22856555891028732,0.7582867115350425,0.8605591789627822,0.7386371294289683,34616.384166949516
2,22160,26160,4000,1,0.7607363750354736,-0.22287067953581965,0.7601632730262522,0.883301235415893,0.7460089751863602,34597.75143055139
3,22112,26112,4000,1,0.7610967294572799,-0.23019453687308547,0.7601888296315786,0.9182087190466375,0.7578272024507607,34612.405281555424
4,22064,26064,4000,1,0.7604723116005254,-0.2298400405403734,0.7630763985988043,0.9167899549456661,0.7429482783723739,34607.795530458265
5,22016,26016,4000,1,0.7602962551312197,-0.2203808816780482,0.7635570822187264,0.9179409448595276,0.7422499111105257,34597.54953971047
6,21968,25968,4000,1,0.7557374563273312,-0.2217937245467621,0.7596739799001013,0.9228778592998595,0.7549142243567791,34632.33142850892
7,21920,25920,4000,1,0.7578757294101167,-0.21929307388973207,0.7643535580632288,0.924314669808241,0.7562973242318626,34612.68245279169
8,21872,25872,4000,1,0.7532972845350023,-0.21227224498284192,0.7660126489133545,0.9251756826460772,0.7546234826290209,34587.41531324018
9,21824,25824,4000,1,0.7484109871636406,-0.19853397108883108,0.7615510167203529,0.923056335508018,0.750858022960635,34584.54707373715
10,21776,25776,4000,1,0.7449258821574329,-0.19467349908597664,0.761878766471061,0.9122068300560303,0.7514200854060166,34602.23295936229
11,21728,25728,4000,1,0.7401082696003201,-0.18517007529623655,0.7641299557292965,0.926394005276368,0.7573305537565095,34608.155727674064
12,21680,25680,4000,1,0.7329123175032739,-0.1648527159515571,0.7630778735295014,0.9216260984228443,0.7467975459781567,34607.241242027056
13,21632,25632,4000,1,0.7329250636911755,-0.16067229728312216,0.7629138627534536,0.9264051600275676,0.7573348110799094,34612.81221548036
14,21584,25584,4000,1,0.7311763831705258,-0.15460746398153594,0.7662216735857421,0.9294793081711231,0.7587203770786191,34637.98314118708
15,21536,25536,4000,1,0.7263476330011498,-0.15379910288384113,0.7689517778354169,0.928813682591455,0.7507005707983131,34808.773093653144
16,21488,25488,4000,1,0.7140795997142221,-0.1458832708789766,0.7630289793373333,0.9291824778900746,0.7569522304233067,34816.57975662316
17,21440,25440,4000,1,0.7129939584459966,-0.15326743796953177,0.7631288245383494,0.9318458387659756,0.7508012865322082,34898.8676422731
18,21392,25392,4000,1,0.7131303655169617,-0.14520220429649394,0.7672845619447086,0.9305747594593381,0.7363466563553032,34867.725845835885
19,21344,25344,4000,1,0.7131481507373651,-0.12445951454969137,0.7689036498575323,0.9293656094236374,0.7421840032433596,34854.505047106715
